creationDate		 modificationDate	 substring		Filesize
|27.10.2017 10:31:58|	|02.10.2017 07:41:22|	|2017-09-29_11-33-22|	|11254.09 KB|
|27.10.2017 10:32:02|	|02.10.2017 07:41:34|	|2017-10-02_07-41-30|	|    4.31 KB|
|27.10.2017 10:32:02|	|02.10.2017 07:42:36|	|2017-10-02_07-42-33|	|    7.01 KB|
|27.10.2017 10:32:02|	|02.10.2017 07:45:44|	|2017-10-02_07-42-36|	|  582.20 KB|
|27.10.2017 10:32:02|	|02.10.2017 07:46:02|	|2017-10-02_07-42-36|	|  582.72 KB|
|27.10.2017 10:32:03|	|02.10.2017 08:17:56|	|2017-10-02_08-10-24|	|  863.56 KB|
|27.10.2017 10:32:03|	|02.10.2017 08:18:02|	|2017-10-02_08-18-00|	|    0.41 KB|
|27.10.2017 10:32:03|	|02.10.2017 08:18:14|	|2017-10-02_08-18-11|	|    0.41 KB|
|27.10.2017 10:32:03|	|02.10.2017 08:18:38|	|2017-10-02_08-18-37|	|    0.42 KB|
|27.10.2017 10:32:03|	|02.10.2017 08:19:22|	|2017-10-02_08-19-21|	|    0.41 KB|
|27.10.2017 10:32:03|	|02.10.2017 08:20:06|	|2017-10-02_08-20-04|	|    0.42 KB|
|27.10.2017 10:32:04|	|02.10.2017 08:20:40|	|2017-10-02_08-20-39|	|    0.41 KB|
|27.10.2017 10:32:04|	|02.10.2017 08:20:46|	|2017-10-02_08-20-44|	|    0.41 KB|
|27.10.2017 10:32:04|	|02.10.2017 08:21:18|	|2017-10-02_08-21-16|	|    0.42 KB|
|27.10.2017 10:32:04|	|02.10.2017 09:15:50|	|2017-10-02_08-21-58|	| 9902.63 KB|
|27.10.2017 10:32:07|	|02.10.2017 09:39:06|	|2017-10-02_09-23-12|	| 2851.05 KB|
|27.10.2017 10:32:08|	|02.10.2017 09:55:58|	|2017-10-02_09-44-26|	| 2154.21 KB|
|27.10.2017 10:32:09|	|02.10.2017 10:07:16|	|2017-10-02_09-58-10|	| 1670.00 KB|
|27.10.2017 10:32:09|	|02.10.2017 10:42:20|	|2017-10-02_10-15-12|	| 4992.16 KB|
|27.10.2017 10:32:11|	|02.10.2017 11:09:24|	|2017-10-02_10-44-25|	| 4617.90 KB|
|27.10.2017 10:32:13|	|02.10.2017 11:30:10|	|2017-10-02_11-12-40|	| 3213.42 KB|
|27.10.2017 10:32:16|	|02.10.2017 11:49:32|	|2017-10-02_11-31-50|	| 3393.45 KB|
|27.10.2017 10:32:18|	|02.10.2017 12:10:36|	|2017-10-02_11-51-50|	| 3414.26 KB|
|27.10.2017 10:32:19|	|02.10.2017 12:30:18|	|2017-10-02_12-13-54|	| 3092.77 KB|
|27.10.2017 10:32:19|	|02.10.2017 14:01:46|	|2017-10-02_13-41-23|	| 3814.17 KB|
|27.10.2017 10:32:21|	|02.10.2017 14:21:30|	|2017-10-02_14-03-28|	| 3317.60 KB|
|27.10.2017 10:32:22|	|02.10.2017 14:51:30|	|2017-10-02_14-28-19|	| 4205.50 KB|
